row_type,scenario,nav_basis,stress_scenario,security_id,metric,value,limit,status,stress_pnl_CNY,post_stress_weight,executable_status,source_ids
summary,当前,statement,,,NAV_CNY,1038800.0,,披露,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
summary,当前,statement,,,risk_asset_weight,0.9280419715055833,0.75,不合规,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
summary,当前,statement,,,max_single_weight,0.3881401617250674,0.27,不合规,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
summary,当前,statement,,,top2_weight,0.5864458991143627,,披露,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
summary,当前,statement,,,highvol_weight_A_plus_D,0.5180978051597998,0.3,不合规,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
summary,当前,statement,,,electronic_weight_A_plus_D,0.5180978051597998,0.32,不合规,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
summary,当前,statement,,,deadline_withdrawable_cash_weight,0.0731476896418945,,披露,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
summary,当前,statement,,,portfolio_annualized_volatility,0.3082063287934301,,披露,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
summary,当前,statement,,,max_risk_contribution_share,0.5820023831073902,0.55,不合规,,,,POLICY-01|POLICY-02|POLICY-03|POLICY-04|POLICY-05|POLICY-06
risk_by_security,当前,statement,,SYN201.SH,single_weight,0.3881401617250674,,披露,,,8/28收盘后当前可执行0；8/31复核T+1到账后最多18000，5%ADV上限120000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN201.SH,marginal_risk_contribution,0.46214444042411346,,披露,,,8/28收盘后当前可执行0；8/31复核T+1到账后最多18000，5%ADV上限120000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN201.SH,component_risk_contribution_to_vol,0.17937681784655615,,披露,,,8/28收盘后当前可执行0；8/31复核T+1到账后最多18000，5%ADV上限120000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN201.SH,risk_contribution_share,0.5820023831073902,0.55,不合规,,,8/28收盘后当前可执行0；8/31复核T+1到账后最多18000，5%ADV上限120000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN202.SZ,single_weight,0.09458028494416634,,披露,,,8/28收盘后当前可执行0；8/31正常交易时最多12500，5%ADV上限150000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN202.SZ,marginal_risk_contribution,0.051426233540041236,,披露,,,8/28收盘后当前可执行0；8/31正常交易时最多12500，5%ADV上限150000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN202.SZ,component_risk_contribution_to_vol,0.004863907821822344,,披露,,,8/28收盘后当前可执行0；8/31正常交易时最多12500，5%ADV上限150000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN202.SZ,risk_contribution_share,0.01578133661584313,0.55,合规,,,8/28收盘后当前可执行0；8/31正常交易时最多12500，5%ADV上限150000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN203.SH,single_weight,0.11705814401232191,,披露,,,停牌，当前及复牌前可执行0；复牌日须取新报价，5%ADV上限42500,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN203.SH,marginal_risk_contribution,0.15857830845417234,,披露,,,停牌，当前及复牌前可执行0；复牌日须取新报价，5%ADV上限42500,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN203.SH,component_risk_contribution_to_vol,0.01856288246825891,,披露,,,停牌，当前及复牌前可执行0；复牌日须取新报价，5%ADV上限42500,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN203.SH,risk_contribution_share,0.06022875176161733,0.55,合规,,,停牌，当前及复牌前可执行0；复牌日须取新报价，5%ADV上限42500,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN204.SZ,single_weight,0.12995764343473237,,披露,,,跌停且零买盘，当前可执行0；恢复有效买盘后单日最多9000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN204.SZ,marginal_risk_contribution,0.5386481741962929,,披露,,,跌停且零买盘，当前可执行0；恢复有效买盘后单日最多9000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN204.SZ,component_risk_contribution_to_vol,0.07000144735897143,,披露,,,跌停且零买盘，当前可执行0；恢复有效买盘后单日最多9000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYN204.SZ,risk_contribution_share,0.22712527556787673,0.55,合规,,,跌停且零买盘，当前可执行0；恢复有效买盘后单日最多9000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
risk_by_security,当前,statement,,SYNETF.SH,single_weight,0.19830573738929533,,披露,,,8/28收盘后当前可执行0；8/31正常交易时最多50000，5%ADV上限750000,RISK-01|RISK-02|RISK-03|RISK-04|RISK-05|CORR-01|CORR-02|CORR-03|CORR-04|CORR-05
