plan_id,metric_name,actual_value,threshold,status,gap,calculation_basis,evidence_file
方案A,equity_exposure_max,0.791452,0.82,通过,0,交易后股票市值39566570.00/交易后净资产49992361.44,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案A,single_name_300750.SZ,0.198351,0.2,通过,0,交易后300750.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案A,single_name_002594.SZ,0.175923,0.2,通过,0,交易后002594.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案A,single_name_600519.SH,0.137739,0.2,通过,0,交易后600519.SH市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案A,single_name_000858.SZ,0.137743,0.2,通过,0,交易后000858.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案A,single_name_000333.SZ,0.039081,0.2,通过,0,交易后000333.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案A,single_name_601318.SH,0.102616,0.2,通过,0,交易后601318.SH市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案A,top3_weight_max,0.512017,0.5,不通过,0.012017,交易后权重前3大股票权重之和,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案A,historical_cvar95_max,0.021774,0.022,通过,0,250日历史CVaR95，m=13,账户与交易约束_20251231T1445.csv; 持仓标的日线_20240102_20251230.csv
方案A,minimum_cash_weight,0.208548,0.18,通过,0,交易后净现金10425791.44/交易后净资产49992361.44,账户与交易约束_20251231T1445.csv
方案B,equity_exposure_max,0.800488,0.82,通过,0,交易后股票市值40019000.00/交易后净资产49993227.12,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
