row_type,security_id,name,official_total_qty,official_sellable_qty_at_cutoff,t1_reconciled_sellable_qty_at_cutoff,executable_qty_at_2026_08_28_15_20,earliest_possible_execution,next_window_max_executable_qty,reconstructed_total_cost_CNY,adjusted_avg_cost_CNY,broker_display_avg_cost,mark_price,mark_ts,market_value_CNY,price_unrealized_pnl_CNY,confirmed_dividend_receivable_CNY,total_return_pnl_including_confirmed_dividend_CNY,ocr_value,ocr_confidence,ocr_disposition,execution_status,source_ids
security,SYN201.SH,证券A,18000.000000,14000.000000,14000.000000,0.000000,2026-08-31 09:30 after status check,18000.000000,381499.160000,21.194398,21.320000,22.400000,2026-08-28 15:00,403200.000000,21700.840000,0.000000,21700.840000,"13,000?",0.620000,与官方18000冲突；低于0.80，排除,8/28收盘后当前可执行0；8/31复核T+1到账后最多18000，5%ADV上限120000,BRK-POS-01|BRK-TRD-01|BRK-TRD-02|BRK-TRD-03|IMG-01|MKT-SRC-01
security,SYN202.SZ,证券B,12500.000000,12500.000000,12500.000000,0.000000,2026-08-31 09:30 after status check,12500.000000,101276.320000,8.102106,8.110000,7.860000,2026-08-28 15:00,98250.000000,-3026.320000,3750.000000,723.680000,"12,500",0.980000,一致，仅交叉核验,8/28收盘后当前可执行0；8/31正常交易时最多12500，5%ADV上限150000,BRK-POS-02|BRK-TRD-04|IMG-01|MKT-SRC-02|ISSUER-CA-01
security,SYN203.SH,证券C,8000.000000,8000.000000,8000.000000,0.000000,unknown; after resumption,0.000000,116030.160000,14.503770,14.520000,15.200000,2026-08-24 15:00,121600.000000,5569.840000,0.000000,5569.840000,"8,000",0.960000,数量一致，不能证明可成交,停牌，当前及复牌前可执行0；复牌日须取新报价，5%ADV上限42500,BRK-POS-03|BRK-TRD-05|IMG-01|MKT-SRC-03|EXCH-CA-02
security,SYN204.SZ,证券D,10000.000000,10000.000000,10000.000000,0.000000,2026-08-31 only if valid bid returns,0.000000,168043.680000,16.804368,16.820000,13.500000,2026-08-28 15:00,135000.000000,-33043.680000,0.000000,-33043.680000,"10,000",0.950000,数量一致；名称OCR 0.74排除,跌停且零买盘，当前可执行0；恢复有效买盘后单日最多9000,BRK-POS-04|BRK-TRD-06|IMG-02|MKT-SRC-04
security,SYNETF.SH,宽基ETF,50000.000000,50000.000000,50000.000000,0.000000,2026-08-31 09:30 after status check,50000.000000,196049.000000,3.920980,3.925000,4.120000,2026-08-28 15:00,206000.000000,9951.000000,0.000000,9951.000000,"50,000",0.990000,一致，仅交叉核验,8/28收盘后当前可执行0；8/31正常交易时最多50000，5%ADV上限750000,BRK-POS-05|BRK-TRD-07|IMG-02|MKT-SRC-05
account_reconciliation,ACCOUNT,withdrawable_cash,,,,,,,,,,,,58000.000000,,,,,,,已结算可划转,BRK-ACC-02
account_reconciliation,ACCOUNT,unsettled_sale_net,,,,,,,,,,,,17985.820000,,,,,,,8/31 09:00转可划转；18000-5-0.18-9,BRK-ACC-04|BRK-TRD-08|CAL-SRC-02
account_reconciliation,ACCOUNT,confirmed_dividend_receivable_B,,,,,,,,,,,,3750.000000,,,,,,,9/3到账，晚于现金截止,BRK-ACC-05|ISSUER-CA-01|CAL-SRC-08
account_reconciliation,ACCOUNT,security_market_value_total,,,,,,,,,,,,964050.000000,,,,,,,C价格陈旧、D零买盘，市值不等于可变现额,BRK-POS-01|BRK-POS-02|BRK-POS-03|BRK-POS-04|BRK-POS-05
account_reconciliation,ACCOUNT,reconstructed_NAV_including_dividend,,,,,,,,,,,,1043785.820000,,,,,,,964050+58000+17985.82+3750,上述明细合计
account_reconciliation,ACCOUNT,statement_total_assets,,,,,,,,,,,,1038800.000000,,,,,,,券商汇总,BRK-ACC-01
account_reconciliation,ACCOUNT,residual_reconstructed_minus_statement,,,,,,,,,,,,4985.820000,,,,,,,无法由附件消除；若不计股息应收，差额为1235.82，不得虚构其他资产补平,重建计算
